会社名,URL,役職,氏名,業種,公式サイトURL,年商
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,代表取締役社長,久野　貴久,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,代表取締役,尾上　秀俊,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,取締役,小林　新,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,取締役,三枝　理人,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,取締役,岡野　良治,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,取締役,佐藤　将祐,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,社外取締役,山本　功,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,社外取締役,江藤　尚美,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,社外取締役,志濟　聡子,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,常勤監査役,大場　克仁,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,常勤監査役,渡辺　信行,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,社外監査役,草道　倫武,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,社外監査役,水口　啓子,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,専務執行役員,岡　雅彦,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,常務執行役員,斉藤　孝博,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,常務執行役員,寺口　太二,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,常務執行役員,小池　賢二,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
日清オイリオグループ株式会社,https://www.nisshin-oillio.com/company/corporate/executive/,常務執行役員,竹島　智春,食品製造（食用油）,https://www.nisshin-oillio.com/,"5,350億円"
