会社名,ひらがな,本社住所,本社郵便番号,電話番号,FAX番号,代表メールアドレス,代表者名,会社サイト,お問い合わせページ,法人番号,上場種別,資本金,売上高,従業員数,工場数,店舗数,設立年月,一言説明,会社概要,メイン大業界,メイン小業界,サブ大業界,サブ小業界,特徴,マッチ度,役員情報,株式会社トッパングラフィックコミュニケーションズ,とっぱんぐらふぃっくこみゅにけーしょんず,東京都台東区台東１丁目５番１号,110-0016,03-3968-5046,03-3558-0204,-,谷中映之,http://www.toppan-tgc.co.jp/,-.1,3010501030830,未上場,300000000,38400000000,1901,-.2,-.3,2003年8月,コンテンツの企画やデザインを手掛ける会社,各種デバイスに対応したコンテンツの企画やデザインおよび製作を手掛ける会社。カタログやポスターなどの印刷物制作やデジタル処理、映像加工などを手掛けるほか、マーケティングやコンテンツ、パッケージを中心に事業を展開している。凸版印刷株式会社のグループ会社。,製造業界の会社,紙類包装資材業界の会社,広告業界の会社・その他サービス業界の会社,紙媒体印刷業界の会社・デザイン業界の会社,BtoB,未計算,-.4,トヨタ自動車株式会社,とよたじどうしゃ,愛知県豊田市トヨタ町1番地,471-8571,0565-28-2121,豊田章男,http://www.toyota.co.jp,https://www.toyota.co.jp/faq/toiawase/situmon.html,1180301018771,東証１部,635400000000,27597193000000,364445,16,49,1937年8月,「トヨタ」と「レクサス」の2ブランドを中心に生産・販売する、世界首位級の自動車メーカー,"世界最大手の自動車メーカーの一つで、世界販売台数は1000万台に及び日本でも国内シェアは4割を超える。ダイハツや日野自動車を子会社として持ち、マツダとは提携、富士重工には出資を行う。グループ部品メーカーデンソーなども有力である。<br>
燃料電池自動車やハイブリッド自動車など環境性能に優れた自動車開発にも積極的に取り組んでいる。16年度は、円高が進む一方で、先行投資を緩めなかったために減益幅が拡大した。16年では、車とインターネットの常時接続を目指し、子会社を通じてアメリカのライドシェア企業大手ウーバーと提携をした。また、マイクロソフトと提携を拡大し、自動車のビッグデータ活用を図る。<br>",自動車・乗り物業界の会社,自動車業界の会社・自動車部品・カー用品業界の会社,小売業界の会社,自動車ディーラー業界の会社・,BtoB　BtoC,"小津博司[監査役],  北山禎介[監査役],  和気洋子[監査役],  香川佳之[常勤監査役],  加藤雅大[常勤監査役],  中津川昌樹[常勤監査役],  MarkT.Hogan[取締役],  加藤治彦[取締役],  宇野郁夫[取締役],  早川茂[取締役・専務役員],  小平信因[取締役],  寺師茂樹[取締役副社長/代表取締役],  DidierLeroy[取締役副社長/代表取締役],  伊地知隆彦[取締役副社長/代表取締役],  加藤光久[取締役副社長/代表取締役],  豊田章男[取締役社長/代表取締役],  内山田竹志[取締役会長/代表取締役], ",リクルートホールディングス,りくるーとほーるでぃんぐす,東京都千代田区丸の内1-9-2,100-6640,03-6835-1111,峰岸真澄,http://www.recruit.jp,https://www.recruit.jp/support/rhd/,5010001060426,10000000000,1839987000000,38451,1963年8月,販促・人材募集サイト・人材派遣の主力3事業を始めとして、様々な領域の情報サイトを運営する会社,"催促メディアは飲食、美容、旅行、学びを始めとした日常消費領域や住まい領域、結婚・進学・教育・自動車領域をカバーする子会社から成る。<br>
人材募集領域では「リクナビ」をはじめとする社員募集の広告事業、斡旋事業、選考支援事業、アルバイト、パート、派遣など多種多様な働き方を提案している。人材派遣事業では派遣事業に力を入れている。<br>
リクルートは様々な生活情報メディアを展開しているが、「リボンモデル」という名の独特な事業が特徴的。「まだ、ここにない出会い。」をキャッチフレーズとして様々な分野の企業と、個人とのマッチングサービスを事業の軸としている。<br>
主力3事業とも業績は好調で、求人検索サイト「Indeed」は前期6割増収。人材派遣事業においては、効率的な事業運営を推進したほか、海外でのM&amp;A等により展開地域の拡大を進めている。<br>",中古車販売業界の会社・自動車ディーラー業界の会社・,教育業界・不動産業界の会社・人材業界の会社・エンタメ業界の会社・IT業界の会社,資格取得・通信教育業界の会社・不動産売買・仲介業界の会社・・人材紹介業界の会社・旅行業界の会社・・Webサービス・アプリ運営業界の会社,BtoC　BtoB,"峰岸真澄[代表取締役社長/CEO],  池内省五[取締役専務執行役員/経営企画本部・人事本部・RD本部担当],  草原繁[取締役専務執行役員/管理本部担当],  佐川恵一[取締役専務執行役員/ファイナンス本部担当],  大八木成男[取締役],  新貝康司[取締役],  長嶋由紀子[常勤監査役],  藤原章一[常勤監査役],  井上広樹[監査役],  西浦泰明[監査役], ",ウォルト・ディズニー・ジャパン株式会社,うぉると・でぃずにー・じゃぱん,東京都港区虎ノ門１丁目２３番１号虎ノ門ヒルズ森タワー,105-0001,03-6752-2300,ポール・キャンドランド,http://www.disney.co.jp/,https://secured.disney.co.jp/onlinehelp/inquiry.html,5013201005431,13640000000,185000,2004年4月,サ?・ウォルト・テ?ィス?ニー・カンハ?ニーの日本法人でディズニー関連商品の管理をする会社,サ?・ウォルト・テ?ィス?ニー・カンハ?ニーの日本法人であり、ディズニープロパティの使用許諾や管理を行っている会社。その他、映画製作やキャラクター商品の販売、エンターテインメントコンテンツの開発・制作も手がけており、ゲーム制作も行っている。,生活用品業界の会社,雑貨製造業界の会社,エンタメ業界の会社・小売業界の会社,映像・CM制作業界の会社・書籍・マルチメディア販売業界の会社・映画・アニメ業界の会社,ニッコンホールディングス株式会社,にっこんほーるでぃんぐす,東京都中央区明石町６番１７号,104-0044,kouhou@nikkon.co.jp,黒岩正勝,http://www.nikkon-hd.co.jp/,http://www.nikkon-hd.co.jp/business/telmail.html,7010001035005,11316610000,18869,1953年8月,一般貨物運送や倉庫の運営等を手掛ける会社,一般貨物の輸送から現地での生産設備の解体、据付までをワンストップサービスとして提供する。また、倉庫の運営を行う他にも、国内・国外物資の輸入や販売、廃棄物の回収や運搬・処理事業等も取り扱っている。,その他サービス業界の会社,廃棄物処理業界の会社・廃棄物収集・運搬業界の会社・環境・廃棄物処理・,運輸・物流業界の会社,倉庫業界の会社・陸運業界の会社・,-.5,株式会社みらいサービス,みらいさーびす,新潟県新潟市南区東笠巻新田２７０番地５,950-1406,025-362-0983,025-362-0984,http://ja-niigatamirai.jp/mirai-service/index.html,4110001010396,200000000,22552,4,2010年1月,自宅葬や家族葬などの葬儀を行う会社,新潟県新潟市と周辺エリアを中心に葬祭事業を行う。また式場は一日あたり葬儀を一度までに限定しているほか、自宅葬や家族葬、法要などにも対応することが特徴。そのほか生花や供物等の慶弔寄贈品も取り扱っている。,葬儀業界の会社,Unnamed: 22,Unnamed: 23,日本通運株式会社,にっぽんつううん,東京都港区東新橋1-9-3,105-8322,03-6251-1111,渡邉健二,http://www.nittsu.co.jp/,http://www.nittsu.co.jp/contact/?link=top_global_navi,4010401022860,70175000000,1909105000000,70693,1937年10月,国内外で陸上・海上・航空運送を展開する総合物流会社,"国内に345の支店・事業所、海外に611の拠点を有する総合物流企業。鉄道や貨物自動車を用いた陸上運送、航空運送、海上輸送などあらゆる輸送に対応している。海外事業も手掛け、アメリカやヨーロッパ・アジア・オセアニアなど世界42か国のネットワークを持つ。企業の原材料や製品の保管サービスや転勤等に伴う社員の国内外引越しサービス、美術品や発電設備・ハイテク製造工場の装置、現金や有価証券など運送に警備員を必要とする金融機関向けサービスなど、通常の輸送が困難なものの専門輸送サービスも展開している。<br>
1872年に設立された陸運元会社を前身とし、1950年に一般商事会社となった。宅配サービス「ペリカン便」は2010年に日本郵便のゆうパック事業に引き継がれ、会社は宅配事業から撤退した。<br>",倉庫業界の会社・空運業界の会社・海運業界の会社・陸運業界の会社・,引っ越し業界の会社,"青木良夫[監査役],  野尻俊明[監査役],  鈴木達也[常勤監査役],  今野洋美[常勤監査役],  和田貴志[常勤監査役],  安岡定子[取締役],  中山慈夫[取締役],  杉山雅洋[取締役],  林田直也[取締役執行役員],  秋田進[取締役執行役員],  佐久間文彦[取締役執行役員],  寺井克宏[取締役常務執行役員],  竹津久雄[取締役常務執行役員],  島内技[取締役常務執行役員],  石井孝明[取締役専務執行役員],  伊藤豊[代表取締役副社長副社長執行役員],  齋藤充[代表取締役副社長副社長執行役員],  大日向明[代表取締役副社長副社長執行役員],  渡邉健二[代表取締役社長社長執行役員],  川合正矩[代表取締役会長], ",株式会社ワコールホールディングス,わこーるほーるでぃんぐす,京都府京都市南区吉祥院中島町29,601-8530,075-694-3111,塚本能交,http://www.wacoalholdings.jp/,http://www.wacoal.jp/company/contact/index.html,5130001012084,13260000000,202917000000,21892,1949年11月,インナーウェアやスポーツウェアなどの婦人下着を製造・販売している会社,"婦人下着首位。子会社58社および関連会社9社で構成。婦人用下着を中心とするインナーウェア、アウターウェア、スポーツウェアなどを展開。「ワコール」ブランドと「ウイング」ブランドの2つを主力として展開。本社は京都。自社研究所を活用した、身体動作研究に基づく商品開発力に定評がある。<br>
「女性に美しくなって貰う」こと、「女性が美しくなることをお手伝いする」こと、「女性の""美しくありたい""という願いの実現に役立つ」ことを創立当初から事業の目的として掲げており、現在は、小中学生およびシニア世代へのアピールに力を入れることで顧客層の拡大を目指している。&nbsp;<br>
アメリカ、シンガポール、フィリピン、その他ヨーロッパなどに数多くのグループ企業を持ち、「世界のワコール」を目指して海外展開にも注力中。 傘下には、下着通販および小売を行うピーチ・ジョンなどを持つ。<br>",アパレル・美容業界の会社,アパレル業界の会社・,アパレル販売業界の会社・,BtoC,"白井弘[監査役],  竹村葉子[監査役],  片柳彰[監査役],  廣島清隆[常勤監査役],  中村友紀[常勤監査役],  黛まどか[取締役],  堀場厚[取締役],  尾崎護[取締役],  山口雅史[取締役],  若林正哉[取締役副社長],  安原弘展[取締役副社長],  塚本能交[代表取締役社長], ",イオン株式会社,いおん,千葉県千葉市美浜区中瀬1-5-1,261-8515,043-212-6000,岡田元也,http://www.aeon.info/,6040001003380,220007000000,8176732000000,135058,1926年9月,「AEON」などスーパーを運営する純粋持ち株会社,"「AEON（イオン）」などの総合スーパー、食品スーパーを全国に展開する会社で、国内流通の大手である。総合スーパー事業を始め、小売り事業、総合金融事業、ショッピングセンターの開発及び賃貸を行うディベロッパー事業、アミューズメントやファッションのサービス事業など各事業を複合的に展開している。グループは、株式会社イオン及び295社の連結子会社、33社の関連会社により構成されている（2016年2月時点）。
売上を牽引するのはスーパーマーケット、ディスカウントストアを運営するSM・DS事業。「マックスバリュ」「マルエツ」等の店舗の知名度が高く、全国的に展開している。第二の収益源は、総合スーパーを運営するGMS事業。総合スーパーとは、 日常生活で必要な物を総合的に扱う、大衆向けの大規模な小売業態を指す。総合スーパーとして認知度の高い「イオン」は、大規模駐車場を兼ね備えた郊外型ショッピングセンターの先駆けとなった事でも知られている。
また、海外進出にも積極的で、経済成長の著しいアジアに焦点を置き店舗を増やす戦略を取っている。ベトナム・カンボジアに続き、2015年度新たにインドネシアへも進出を果たした。
今後の課題として、「アジア」「都市」「シニア」「デジタル化」の4つを挙げる。具体的には、アジアへの出店数増加、都市生活者にシフトした都市への店舗出店、シニア層の取り込み、ネットビジネスの活用などである。また、イオン独自のブランド「トップバリュ」の商品力強化を進めていく方針である。",金融業界の会社,銀行・信用金庫・信用組合業界の会社,小売店舗・施設業界の会社・スーパー業界の会社,"長島徹[取締役/監査委員指名委員],  内永ゆか子[取締役/監査委員指名委員],  佐藤謙[取締役/報酬委員会議長監査委員],  但木敬一[取締役/監査委員会議長報酬委員],  末吉竹二郎[取締役/指名委員会議長報酬委員],  山下昭典[取締役/執行役副社長財務担当],  森美樹[取締役/グループCOO兼4シフト推進担当],  岡田元也[取締役/グループCEO指名委員報酬委員],  横尾博[取締役/取締役会議長], "
ニッコンホールディングス株式会社,にっこんほーるでぃんぐす,東京都中央区明石町６番１７号,104-0044,-,-,kouhou@nikkon.co.jp,黒岩正勝,http://www.nikkon-hd.co.jp/,http://www.nikkon-hd.co.jp/business/telmail.html,7010001035005.0,東証１部,11316610000,-,18869,-,-,1953年8月,一般貨物運送や倉庫の運営等を手掛ける会社,一般貨物の輸送から現地での生産設備の解体、据付までをワンストップサービスとして提供する。また、倉庫の運営を行う他にも、国内・国外物資の輸入や販売、廃棄物の回収や運搬・処理事業等も取り扱っている。,その他サービス業界の会社,廃棄物処理業界の会社・廃棄物収集・運搬業界の会社・環境・廃棄物処理・,運輸・物流業界の会社,倉庫業界の会社・陸運業界の会社・,BtoB,未計算,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
株式会社東日本環境アクセス,ひがしにほんかんきょうあくせす,東京都台東区東上野３丁目４番１２号,110-0015, 03-3836-1551,03-3835-9674,-,赤石良治	,http://www.jea.co.jp/,https://x268.secure.ne.jp/~x268004/hp.html,8010501004160.0,未上場,120000000,16100000000,3800,-,-,1963年3月,ビル・駅・ホテルの清掃や廃棄物処理などを行っているJR東日本の子会社,"JR東日本グループの商業ビルやオフィスビル、駅・車両などを中心に清掃などを手掛けている。具体的には電気・空調の設備管理や警備保安、自動販売機の管理などを行い、その他には高所清掃や廃棄物の収集運搬やリサイクル事業にも取り組む。




",その他サービス業界の会社,廃棄物収集・運搬業界の会社・清掃業界の会社・・環境・廃棄物処理・,,,BtoB,未計算,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＳＢＳフレックネット株式会社,えすびーえすふれっくねっと,東京都墨田区太平４丁目１番３号,130-0012,03-3829-3085,03-3829-2109,-,佐藤佳嗣,http://www.sbs-flec.co.jp/flec/company/group/,-,1030001073850.0,未上場,50000000,-,3023,-,-,-,食品メーカーなどの商品の輸送や入出荷作業などを行う会社,SBSフレックの完全子会社で、食品メーカーと卸事業者の工業・センター間における輸送や、入出荷作業及び納品先への配送などを行う会社。その他産業廃棄物の収集・運搬及び処理業務なども行う。ドライ・チルド・フローズンに対応した、3温度帯食品物流サービスを提供していることが特徴である。,その他サービス業界の会社,廃棄物処理業界の会社・廃棄物収集・運搬業界の会社・環境・廃棄物処理・,運輸・物流業界の会社,陸運業界の会社・,BtoB,未計算,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日本原燃株式会社,にほんげんねん,青森県上北郡六ヶ所村大字尾駮字沖付４番地１０８,039-3212,0175-71-2000,-,-,工藤健二,https://www.jnfl.co.jp/ja/,-,4420001011339.0,未上場,400000000000,265800000000,2744,-,-,1992年7月,資源の再利用とエネルギーの安定供給を事業とする会社,ウランの濃縮、および原子力発電所などから生じる使用済燃料の再処理を行う。また、低レベル放射性廃棄物や使用済燃料等の埋設作業や輸送も手掛ける。そのほか、高レベル放射性廃棄物の一時保管やMOX燃料の加工も行う。,その他サービス業界の会社,廃棄物処理業界の会社・廃棄物収集・運搬業界の会社,,,BtoB,未計算,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＲ九州メンテナンス株式会社,じぇいあーるきゅうしゅうめんてなんす,福岡県福岡市博多区博多駅中央街５番１１号,812-0012,092-433-6660,092-483-3545,-,師村博,http://www.jrmnt.co.jp/,-,1290801005366.0,未上場,45000000,9100000000,2298,-,10,1998年4月,ハウスクリーニングやビル・商業施設の清掃及びリフォーム工事などを行う会社,ハウスクリーニングをはじめ、店舗やオフィス及びマンション・ホテル等の清掃サービスを行っている。また住宅のリフォーム工事や害虫駆除を手掛けるほか、ビル管理業も請け負う。さらに鉄道車両の管理や産業廃棄物の収集・運搬などの業務も行う。,その他サービス業界の会社,廃棄物収集・運搬業界の会社・環境・廃棄物処理・・清掃業界の会社・,不動産業界の会社,リフォーム業界の会社・・マンション・ビル管理業界の会社,BtoC　BtoB,未計算,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東芝ビジネスアンドライフサービス株式会社,とうしばびじねすあんどらいふさーびす,神奈川県川崎市川崎区日進町７番地１川崎日進町ビル,210-0024,044-230-3355,-,-,牛尾文昭,http://www.tbls.toshiba.co.jp/,https://www.tbls.toshiba.co.jp/contents/inquiry/index.asp?q_inquiryid=100,7020001071271.0,未上場,100000000,-,2195,-,-,1973年4月,東芝グループ会社の業務サポートや社員の福利厚生サービスを行う会社,東芝グループのWebサイトの製作・運営やサーバ運用、ドキュメント管理など業務関連サービスを行っている。また、建物の設計･施工と事務所移転工事などを請負う。その他、グループ社員及び家族・OBの福利厚生事業を行っている。,その他サービス業界の会社,Web制作業界の会社,人材業界の会社・広告業界の会社,物流人材派遣業界の会社・製造業・技術系人材派遣業界の会社・紙媒体印刷業界の会社・その他業務請負業界の会社,BtoB,未計算,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
株式会社丸運,まるうん,東京都中央区日本橋小網町７番２号,103-0016,03-6861-3411,03-6861-3435,-,荒木康次,http://www.maruwn.co.jp/,https://www.maruwn.co.jp/form/,5010001141787.0,東証１部,3559230000,471170000,2077,-,-,1938年11月,日本全国に物流センターを展開し、一般貨物や石油製品等の液体の輸送を行う会社,一般貨物や石油や高圧ガス等の液体輸送をはじめ、保管業務や冷蔵冷凍物流等を展開している。また、事業所や工場の移転や機械の搬出入にも対応する。その他に、温度管理の必要な食品の流通加工や印刷物・ノベルティの製作等も取り組む。,運輸・物流業界の会社,冷凍冷蔵車運行業界の会社,人材業界の会社・その他サービス業界の会社・コンサルティング業界の会社,その他業務請負業界の会社・廃棄物収集・運搬業界の会社・環境・廃棄物処理・・経営コンサルティング業界の会社,BtoB,未計算,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三八五流通株式会社,みやごりゅうつう,青森県八戸市大字長苗代字上中坪３５番地１号,039-1103,0178-27-4141,0178-27-1509,-,泉山元,http://www.miyago.co.jp/index.html,http://www.miyago.co.jp/toiawase/toiawase.html,8420001005741.0,未上場,780000000,22300000000,2003,18,-,1947年6月,トラック輸送ならびに物流システムの提供、引越センターの運営などを行う会社,農作物や食料品などのトラック輸送や、保有倉庫における物流の一元管理を請け負う。また、法人の顧客を対象としたボックス単位の貸切輸送サービス「JITBOXチャーター便」を提供する。その他、「三八五引越センター」の運営や小型車から大型車までの車両整備、融雪剤の卸売も手掛ける。,その他サービス業界の会社,廃棄物収集・運搬業界の会社・環境・廃棄物処理・・引っ越し業界の会社,自動車・乗り物業界の会社・運輸・物流業界の会社,自動車整備業界の会社・陸運業界の会社・・倉庫業界の会社,BtoC　BtoB,未計算,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
エア・ウォーター物流株式会社,えあ・うぉーたーぶつりゅう,北海道札幌市中央区北三条西１丁目２番地,060-0003,011-859-5300,011-859-5313,info-soumu-awlg-h@awi.co.jp,向出敏行,http://www.awlg.co.jp/index.html,http://www.awlg.co.jp/info/index.html,6430001009470.0,未上場,177500000,56180000000,1952,5,-,-,運送や廃棄物処理業務を行う会社,北海道エア・ウォーター株式会社のグループ企業で、主に高圧ガス運搬や一般貨物などの運送業務を行う。食品や医薬および医療用ガス、産業廃棄物の輸送も担っており、物流コンサルティングや引っ越し業務も手掛ける。その他、機械設置工事なども請け負う。,運輸・物流業界の会社,機械輸送業界の会社・倉庫業界の会社,その他サービス業界の会社,廃棄物収集・運搬業界の会社・廃棄物処理業界の会社・環境・廃棄物処理・,BtoB,未計算,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東洋建物管理株式会社,とうようたてものかんり,青森県青森市橋本１丁目７番３号,030-0823,017-734-5281,017-722-8406,-,七尾嘉信,http://www.toyo-bj.co.jp/index.html,https://smoothcontact.jp/front/output/7f00000152add5a4545acce2160f8ca,3420001001530.0,未上場,30000000,-,1600,-,-,1969年,ビルのクリーニングや管理業務を行う会社,ビル建物のクリーニングや殺菌消毒業務、ハウスクリーニングなどを行う。また、施設の設備運転監視業務や電気及び空調設備の定期点検、給排水関係などの設備点検も手掛ける。その他、一般及び産業廃棄物の収集ならび運搬業務、施設警備や交通誘導警備なども行っている。,不動産業界の会社,マンション・ビル管理業界の会社,その他サービス業界の会社,廃棄物収集・運搬業界の会社・ビル清掃・ハウスクリーニング業界の会社・警備業界の会社,BtoB,未計算,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
